date_morning,food_category,food_item,supply_intake,unit,food_origin,provided_by
2016-01-04,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-04,Livestock / Poultry,Live chicken,10195,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-04,Marine fish,-,1897,(picul),-,Fish Marketing Organization
2016-01-04,Freshwater fish,-,2875,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-04,Vegetables,-,5622,(picul),-,Vegetable Marketing Organization
2016-01-04,Vegetables,-,11468,(picul),-,Government Wholesale Markets
2016-01-04,Eggs,-,384e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-05,Livestock / Poultry,Live pig,4740,(head),Mainland,Food and Environmental Hygiene Department
2016-01-05,Livestock / Poultry,Live pig,226,(head),Local,Food and Environmental Hygiene Department
2016-01-05,Livestock / Poultry,Live cattle,68,(head),Mainland,Food and Environmental Hygiene Department
2016-01-05,Livestock / Poultry,Live chicken,9795,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-05,Marine fish,-,1965,(picul),-,Fish Marketing Organization
2016-01-05,Freshwater fish,-,3035,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-05,Vegetables,-,5768,(picul),-,Vegetable Marketing Organization
2016-01-05,Vegetables,-,12573,(picul),-,Government Wholesale Markets
2016-01-05,Eggs,-,547e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-06,Livestock / Poultry,Live pig,4489,(head),Mainland,Food and Environmental Hygiene Department
2016-01-06,Livestock / Poultry,Live pig,216,(head),Local,Food and Environmental Hygiene Department
2016-01-06,Livestock / Poultry,Live cattle,58,(head),Mainland,Food and Environmental Hygiene Department
2016-01-06,Livestock / Poultry,Live chicken,9950,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-06,Marine fish,-,2156,(picul),-,Fish Marketing Organization
2016-01-06,Freshwater fish,-,3102,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-06,Vegetables,-,5770,(picul),-,Vegetable Marketing Organization
2016-01-06,Vegetables,-,12623,(picul),-,Government Wholesale Markets
2016-01-06,Eggs,-,341e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-07,Livestock / Poultry,Live pig,4007,(head),Mainland,Food and Environmental Hygiene Department
2016-01-07,Livestock / Poultry,Live pig,206,(head),Local,Food and Environmental Hygiene Department
2016-01-07,Livestock / Poultry,Live cattle,46,(head),Mainland,Food and Environmental Hygiene Department
2016-01-07,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-07,Livestock / Poultry,Live chicken,7636,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-07,Marine fish,-,1869,(picul),-,Fish Marketing Organization
2016-01-07,Freshwater fish,-,2941,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-07,Vegetables,-,5794,(picul),-,Vegetable Marketing Organization
2016-01-07,Vegetables,-,11451,(picul),-,Government Wholesale Markets
2016-01-07,Eggs,-,384e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-08,Livestock / Poultry,Live pig,3934,(head),Mainland,Food and Environmental Hygiene Department
2016-01-08,Livestock / Poultry,Live pig,233,(head),Local,Food and Environmental Hygiene Department
2016-01-08,Livestock / Poultry,Live cattle,54,(head),Mainland,Food and Environmental Hygiene Department
2016-01-08,Livestock / Poultry,Live chicken,11789,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-08,Marine fish,-,1759,(picul),-,Fish Marketing Organization
2016-01-08,Freshwater fish,-,2756,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-08,Vegetables,-,5736,(picul),-,Vegetable Marketing Organization
2016-01-08,Vegetables,-,10907,(picul),-,Government Wholesale Markets
2016-01-08,Eggs,-,382e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-10,Livestock / Poultry,Live pig,4303,(head),Mainland,Food and Environmental Hygiene Department
2016-01-10,Livestock / Poultry,Live pig,271,(head),Local,Food and Environmental Hygiene Department
2016-01-10,Livestock / Poultry,Live cattle,66,(head),Mainland,Food and Environmental Hygiene Department
2016-01-10,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-10,Livestock / Poultry,Live chicken,9250,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-10,Marine fish,-,1725,(picul),-,Fish Marketing Organization
2016-01-10,Freshwater fish,-,2748,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-10,Vegetables,-,5535,(picul),-,Vegetable Marketing Organization
2016-01-10,Vegetables,-,8976,(picul),-,Government Wholesale Markets
2016-01-11,Livestock / Poultry,Live pig,4761,(head),Mainland,Food and Environmental Hygiene Department
2016-01-11,Livestock / Poultry,Live pig,242,(head),Local,Food and Environmental Hygiene Department
2016-01-11,Livestock / Poultry,Live cattle,48,(head),Mainland,Food and Environmental Hygiene Department
2016-01-11,Livestock / Poultry,Live chicken,8550,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-11,Marine fish,-,1832,(picul),-,Fish Marketing Organization
2016-01-11,Freshwater fish,-,2897,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-11,Vegetables,-,5973,(picul),-,Vegetable Marketing Organization
2016-01-11,Vegetables,-,11385,(picul),-,Government Wholesale Markets
2016-01-11,Eggs,-,261e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-12,Livestock / Poultry,Live pig,4335,(head),Mainland,Food and Environmental Hygiene Department
2016-01-12,Livestock / Poultry,Live pig,255,(head),Local,Food and Environmental Hygiene Department
2016-01-12,Livestock / Poultry,Live cattle,25,(head),Mainland,Food and Environmental Hygiene Department
2016-01-12,Livestock / Poultry,Live chicken,9076,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-12,Marine fish,-,1704,(picul),-,Fish Marketing Organization
2016-01-12,Freshwater fish,-,2843,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-12,Vegetables,-,5736,(picul),-,Vegetable Marketing Organization
2016-01-12,Vegetables,-,10973,(picul),-,Government Wholesale Markets
2016-01-12,Eggs,-,392e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-13,Livestock / Poultry,Live pig,4626,(head),Mainland,Food and Environmental Hygiene Department
2016-01-13,Livestock / Poultry,Live pig,221,(head),Local,Food and Environmental Hygiene Department
2016-01-13,Livestock / Poultry,Live cattle,66,(head),Mainland,Food and Environmental Hygiene Department
2016-01-13,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-13,Livestock / Poultry,Live chicken,10887,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-13,Marine fish,-,1455,(picul),-,Fish Marketing Organization
2016-01-13,Freshwater fish,-,2881,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-13,Vegetables,-,5268,(picul),-,Vegetable Marketing Organization
2016-01-13,Vegetables,-,11402,(picul),-,Government Wholesale Markets
2016-01-13,Eggs,-,448e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-14,Livestock / Poultry,Live pig,4454,(head),Mainland,Food and Environmental Hygiene Department
2016-01-14,Livestock / Poultry,Live pig,229,(head),Local,Food and Environmental Hygiene Department
2016-01-14,Livestock / Poultry,Live cattle,52,(head),Mainland,Food and Environmental Hygiene Department
2016-01-14,Livestock / Poultry,Live chicken,8875,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-14,Marine fish,-,1604,(picul),-,Fish Marketing Organization
2016-01-14,Freshwater fish,-,3034,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-14,Vegetables,-,5763,(picul),-,Vegetable Marketing Organization
2016-01-14,Vegetables,-,10907,(picul),-,Government Wholesale Markets
2016-01-14,Eggs,-,35e5,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-15,Livestock / Poultry,Live pig,4094,(head),Mainland,Food and Environmental Hygiene Department
2016-01-15,Livestock / Poultry,Live pig,228,(head),Local,Food and Environmental Hygiene Department
2016-01-15,Livestock / Poultry,Live cattle,67,(head),Mainland,Food and Environmental Hygiene Department
2016-01-15,Livestock / Poultry,Live chicken,12711,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-15,Marine fish,-,1511,(picul),-,Fish Marketing Organization
2016-01-15,Freshwater fish,-,3017,(picul),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-15,Vegetables,-,5404,(picul),-,Vegetable Marketing Organization
2016-01-15,Vegetables,-,9983,(picul),-,Government Wholesale Markets
2016-01-15,Eggs,-,349e4,(nos),-,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-16,Livestock / Poultry,Live pig,4044,(head),Mainland,Food and Environmental Hygiene Department
2016-01-16,Livestock / Poultry,Live pig,228,(head),Local,Food and Environmental Hygiene Department
2016-01-16,Livestock / Poultry,Live cattle,22,(head),Mainland,Food and Environmental Hygiene Department
