food_category,food_item,supply_intake,unit,data_from,food_origin,supplier,date_reported,price_this_morning
Vegetables,Spinach,NA,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,30/12/2015,7.0
Vegetables,Water Cress,NA,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,30/12/2015,6.2
Vegetables,Broccoli,NA,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,30/12/2015,8.5
Vegetables,Green Cabbage,NA,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,30/12/2015,4.9
Vegetables,Tomato,NA,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,30/12/2015,5.1
Vegetables,Pea Shoot,NA,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,30/12/2015,25.2
Eggs,Brown-shelled egg (medium) Mainland,NA,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,30/12/2015,0.69
Eggs,Grade II brown-shelled egg Germany (360/box),NA,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,30/12/2015,-
Eggs,Brown-shelled egg (medium) USA,NA,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,30/12/2015,0.86
Livestock / Poultry,Live pig,4160,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,31/12/2015,NA
Livestock / Poultry,Live pig,182,(head),(Yesterday),Local,Food and Environmental Hygiene Department,31/12/2015,NA
Livestock / Poultry,Live cattle,63,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,31/12/2015,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,31/12/2015,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,31/12/2015,NA
