food_category,food_item,supply_intake,unit,data_from,food_origin,supplier,date_reported,price_this_morning
Livestock / Poultry,Live chicken,11800,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,29/2/2016,NA
Marine fish,-,1781,(picul),(Yesterday),-,Fish Marketing Organization,29/2/2016,NA
Freshwater fish,-,2833,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,29/2/2016,NA
Vegetables,-,4239,(picul),(Yesterday),-,Vegetable Marketing Organization,29/2/2016,NA
Vegetables,-,9323,(picul),(Yesterday),-,Government Wholesale Markets,29/2/2016,NA
Eggs,-,1000000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,29/2/2016,NA
Livestock / Poultry,Live pig,4400,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,1/3/2016,NA
Livestock / Poultry,Live pig,253,(head),(Yesterday),Local,Food and Environmental Hygiene Department,1/3/2016,NA
Livestock / Poultry,Live cattle,56,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,1/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,1/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,1/3/2016,NA
Livestock / Poultry,Live chicken,10100,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,1/3/2016,NA
Marine fish,-,1797,(picul),(Yesterday),-,Fish Marketing Organization,1/3/2016,NA
Freshwater fish,-,2992,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,1/3/2016,NA
Vegetables,-,4858,(picul),(Yesterday),-,Vegetable Marketing Organization,1/3/2016,NA
Vegetables,-,11666,(picul),(Yesterday),-,Government Wholesale Markets,1/3/2016,NA
Eggs,-,5430000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,1/3/2016,NA
Livestock / Poultry,Live pig,3827,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,2/3/2016,NA
Livestock / Poultry,Live pig,237,(head),(Yesterday),Local,Food and Environmental Hygiene Department,2/3/2016,NA
Livestock / Poultry,Live cattle,41,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,2/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,2/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,2/3/2016,NA
Livestock / Poultry,Live chicken,8657,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,2/3/2016,NA
Marine fish,-,1639,(picul),(Yesterday),-,Fish Marketing Organization,2/3/2016,NA
Freshwater fish,-,3161,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,2/3/2016,NA
Vegetables,-,5084,(picul),(Yesterday),-,Vegetable Marketing Organization,2/3/2016,NA
Vegetables,-,11567,(picul),(Yesterday),-,Government Wholesale Markets,2/3/2016,NA
Eggs,-,4370000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,2/3/2016,NA
Livestock / Poultry,Live pig,3625,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,3/3/2016,NA
Livestock / Poultry,Live pig,230,(head),(Yesterday),Local,Food and Environmental Hygiene Department,3/3/2016,NA
Livestock / Poultry,Live cattle,46,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,3/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,3/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,3/3/2016,NA
Livestock / Poultry,Live chicken,10250,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,3/3/2016,NA
Marine fish,-,1424,(picul),(Yesterday),-,Fish Marketing Organization,3/3/2016,NA
Freshwater fish,-,2971,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,3/3/2016,NA
Vegetables,-,4732,(picul),(Yesterday),-,Vegetable Marketing Organization,3/3/2016,NA
Vegetables,-,11418,(picul),(Yesterday),-,Government Wholesale Markets,3/3/2016,NA
Eggs,-,4520000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,3/3/2016,NA
Livestock / Poultry,Live pig,4338,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,4/3/2016,NA
Livestock / Poultry,Live pig,250,(head),(Yesterday),Local,Food and Environmental Hygiene Department,4/3/2016,NA
Livestock / Poultry,Live cattle,46,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,4/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,4/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,4/3/2016,NA
Livestock / Poultry,Live chicken,11245,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,4/3/2016,NA
Marine fish,-,1680,(picul),(Yesterday),-,Fish Marketing Organization,4/3/2016,NA
Freshwater fish,-,3015,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,4/3/2016,NA
Vegetables,-,4942,(picul),(Yesterday),-,Vegetable Marketing Organization,4/3/2016,NA
Vegetables,-,11567,(picul),(Yesterday),-,Government Wholesale Markets,4/3/2016,NA
Eggs,-,3760000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,4/3/2016,NA
Livestock / Poultry,Live pig,4444,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,5/3/2016,NA
Livestock / Poultry,Live pig,269,(head),(Yesterday),Local,Food and Environmental Hygiene Department,5/3/2016,NA
Livestock / Poultry,Live cattle,41,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,5/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,5/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,5/3/2016,NA
Livestock / Poultry,Live chicken,12230,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,5/3/2016,NA
Marine fish,-,1558,(picul),(Yesterday),-,Fish Marketing Organization,5/3/2016,NA
Freshwater fish,-,2580,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,5/3/2016,NA
Vegetables,-,4809,(picul),(Yesterday),-,Vegetable Marketing Organization,5/3/2016,NA
Vegetables,-,11682,(picul),(Yesterday),-,Government Wholesale Markets,5/3/2016,NA
Eggs,-,3730000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,5/3/2016,NA
Livestock / Poultry,Live pig,3491,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,6/3/2016,NA
Livestock / Poultry,Live pig,281,(head),(Yesterday),Local,Food and Environmental Hygiene Department,6/3/2016,NA
Livestock / Poultry,Live cattle,57,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,6/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,6/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,6/3/2016,NA
Livestock / Poultry,Live chicken,15453,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,6/3/2016,NA
Marine fish,-,Rest Day,(picul),(Yesterday),-,Fish Marketing Organization,6/3/2016,NA
Freshwater fish,-,3323,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,6/3/2016,NA
Vegetables,-,4958,(picul),(Yesterday),-,Vegetable Marketing Organization,6/3/2016,NA
Vegetables,-,11534,(picul),(Yesterday),-,Government Wholesale Markets,6/3/2016,NA
Eggs,-,2120000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,6/3/2016,NA
Livestock / Poultry,Live pig,4448,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,7/3/2016,NA
Livestock / Poultry,Live pig,318,(head),(Yesterday),Local,Food and Environmental Hygiene Department,7/3/2016,NA
Livestock / Poultry,Live cattle,73,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,7/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,7/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,7/3/2016,NA
Livestock / Poultry,Live chicken,12187,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,7/3/2016,NA
Marine fish,-,3464,(picul),(Yesterday),-,Fish Marketing Organization,7/3/2016,NA
Freshwater fish,-,2802,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,7/3/2016,NA
Vegetables,-,5006,(picul),(Yesterday),-,Vegetable Marketing Organization,7/3/2016,NA
Vegetables,-,8712,(picul),(Yesterday),-,Government Wholesale Markets,7/3/2016,NA
Eggs,-,0,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,7/3/2016,NA
Livestock / Poultry,Live pig,3909,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,8/3/2016,NA
Livestock / Poultry,Live pig,282,(head),(Yesterday),Local,Food and Environmental Hygiene Department,8/3/2016,NA
Livestock / Poultry,Live cattle,28,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,8/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,8/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,8/3/2016,NA
Livestock / Poultry,Live chicken,12040,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,8/3/2016,NA
Marine fish,-,1983,(picul),(Yesterday),-,Fish Marketing Organization,8/3/2016,NA
Freshwater fish,-,3049,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,8/3/2016,NA
Vegetables,-,5560,(picul),(Yesterday),-,Vegetable Marketing Organization,8/3/2016,NA
Vegetables,-,12128,(picul),(Yesterday),-,Government Wholesale Markets,8/3/2016,NA
Eggs,-,4880000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,8/3/2016,NA
Livestock / Poultry,Live pig,4617,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,9/3/2016,NA
Livestock / Poultry,Live pig,290,(head),(Yesterday),Local,Food and Environmental Hygiene Department,9/3/2016,NA
Livestock / Poultry,Live cattle,41,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,9/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,9/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,9/3/2016,NA
Livestock / Poultry,Live chicken,10770,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,9/3/2016,NA
Marine fish,-,2121,(picul),(Yesterday),-,Fish Marketing Organization,9/3/2016,NA
Freshwater fish,-,3141,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,9/3/2016,NA
Vegetables,-,5348,(picul),(Yesterday),-,Vegetable Marketing Organization,9/3/2016,NA
Vegetables,-,11336,(picul),(Yesterday),-,Government Wholesale Markets,9/3/2016,NA
Eggs,-,5420000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,9/3/2016,NA
Livestock / Poultry,Live pig,4162,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,11/3/2016,NA
Livestock / Poultry,Live pig,227,(head),(Yesterday),Local,Food and Environmental Hygiene Department,11/3/2016,NA
Livestock / Poultry,Live cattle,41,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,11/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,11/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,11/3/2016,NA
Livestock / Poultry,Live chicken,10350,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,11/3/2016,NA
Marine fish,-,1727,(picul),(Yesterday),-,Fish Marketing Organization,11/3/2016,NA
Freshwater fish,-,2887,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,11/3/2016,NA
Vegetables,-,4611,(picul),(Yesterday),-,Vegetable Marketing Organization,11/3/2016,NA
Vegetables,-,11550,(picul),(Yesterday),-,Government Wholesale Markets,11/3/2016,NA
Eggs,-,3200000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,11/3/2016,NA
Livestock / Poultry,Live pig,3740,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,12/3/2016,NA
Livestock / Poultry,Live pig,234,(head),(Yesterday),Local,Food and Environmental Hygiene Department,12/3/2016,NA
Livestock / Poultry,Live cattle,66,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,12/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,12/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,12/3/2016,NA
Livestock / Poultry,Live chicken,13347,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,12/3/2016,NA
Marine fish,-,2265,(picul),(Yesterday),-,Fish Marketing Organization,12/3/2016,NA
Freshwater fish,-,2908,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,12/3/2016,NA
Vegetables,-,4516,(picul),(Yesterday),-,Vegetable Marketing Organization,12/3/2016,NA
Vegetables,-,11270,(picul),(Yesterday),-,Government Wholesale Markets,12/3/2016,NA
Eggs,-,3580000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,12/3/2016,NA
Livestock / Poultry,Live pig,3470,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,13/3/2016,NA
Livestock / Poultry,Live pig,272,(head),(Yesterday),Local,Food and Environmental Hygiene Department,13/3/2016,NA
Livestock / Poultry,Live cattle,37,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,13/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,13/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,13/3/2016,NA
Livestock / Poultry,Live chicken,13038,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,13/3/2016,NA
Marine fish,-,1354,(picul),(Yesterday),-,Fish Marketing Organization,13/3/2016,NA
Freshwater fish,-,2621,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,13/3/2016,NA
Vegetables,-,4620,(picul),(Yesterday),-,Vegetable Marketing Organization,13/3/2016,NA
Vegetables,-,11022,(picul),(Yesterday),-,Government Wholesale Markets,13/3/2016,NA
Eggs,-,3420000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,13/3/2016,NA
Livestock / Poultry,Live pig,4393,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,14/3/2016,NA
Livestock / Poultry,Live pig,344,(head),(Yesterday),Local,Food and Environmental Hygiene Department,14/3/2016,NA
Livestock / Poultry,Live cattle,55,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,14/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,14/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,14/3/2016,NA
Livestock / Poultry,Live chicken,11750,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,14/3/2016,NA
Marine fish,-,1473,(picul),(Yesterday),-,Fish Marketing Organization,14/3/2016,NA
Freshwater fish,-,2831,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,14/3/2016,NA
Vegetables,-,4064,(picul),(Yesterday),-,Vegetable Marketing Organization,14/3/2016,NA
Vegetables,-,8564,(picul),(Yesterday),-,Government Wholesale Markets,14/3/2016,NA
Eggs,-,280000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,14/3/2016,NA
Livestock / Poultry,Live pig,4466,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,16/3/2016,NA
Livestock / Poultry,Live pig,267,(head),(Yesterday),Local,Food and Environmental Hygiene Department,16/3/2016,NA
Livestock / Poultry,Live cattle,31,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,16/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,16/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,16/3/2016,NA
Livestock / Poultry,Live chicken,10008,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,16/3/2016,NA
Marine fish,-,1535,(picul),(Yesterday),-,Fish Marketing Organization,16/3/2016,NA
Freshwater fish,-,3055,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,16/3/2016,NA
Vegetables,-,4152,(picul),(Yesterday),-,Vegetable Marketing Organization,16/3/2016,NA
Vegetables,-,11154,(picul),(Yesterday),-,Government Wholesale Markets,16/3/2016,NA
Eggs,-,5270000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,16/3/2016,NA
Livestock / Poultry,Live pig,3829,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,17/3/2016,NA
Livestock / Poultry,Live pig,238,(head),(Yesterday),Local,Food and Environmental Hygiene Department,17/3/2016,NA
Livestock / Poultry,Live cattle,51,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,17/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,17/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,17/3/2016,NA
Livestock / Poultry,Live chicken,9213,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,17/3/2016,NA
Marine fish,-,1402,(picul),(Yesterday),-,Fish Marketing Organization,17/3/2016,NA
Freshwater fish,-,2766,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,17/3/2016,NA
Vegetables,-,4422,(picul),(Yesterday),-,Vegetable Marketing Organization,17/3/2016,NA
Vegetables,-,11567,(picul),(Yesterday),-,Government Wholesale Markets,17/3/2016,NA
Eggs,-,3660000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,17/3/2016,NA
Livestock / Poultry,Live pig,3861,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,18/3/2016,NA
Livestock / Poultry,Live pig,281,(head),(Yesterday),Local,Food and Environmental Hygiene Department,18/3/2016,NA
Livestock / Poultry,Live cattle,46,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,18/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,18/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,18/3/2016,NA
Livestock / Poultry,Live chicken,10328,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,18/3/2016,NA
Marine fish,-,1669,(picul),(Yesterday),-,Fish Marketing Organization,18/3/2016,NA
Freshwater fish,-,3017,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,18/3/2016,NA
Vegetables,-,4198,(picul),(Yesterday),-,Vegetable Marketing Organization,18/3/2016,NA
Vegetables,-,11963,(picul),(Yesterday),-,Government Wholesale Markets,18/3/2016,NA
Eggs,-,3990000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,18/3/2016,NA
Livestock / Poultry,Live pig,4270,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,19/3/2016,NA
Livestock / Poultry,Live pig,225,(head),(Yesterday),Local,Food and Environmental Hygiene Department,19/3/2016,NA
Livestock / Poultry,Live cattle,42,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,19/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,19/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,19/3/2016,NA
Livestock / Poultry,Live chicken,11414,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,19/3/2016,NA
Marine fish,-,1654,(picul),(Yesterday),-,Fish Marketing Organization,19/3/2016,NA
Freshwater fish,-,2813,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,19/3/2016,NA
Vegetables,-,3917,(picul),(Yesterday),-,Vegetable Marketing Organization,19/3/2016,NA
Vegetables,-,10445,(picul),(Yesterday),-,Government Wholesale Markets,19/3/2016,NA
Eggs,-,3910000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,19/3/2016,NA
Livestock / Poultry,Live pig,3573,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,20/3/2016,NA
Livestock / Poultry,Live pig,297,(head),(Yesterday),Local,Food and Environmental Hygiene Department,20/3/2016,NA
Livestock / Poultry,Live cattle,67,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,20/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,20/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,20/3/2016,NA
Livestock / Poultry,Live chicken,12618,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,20/3/2016,NA
Marine fish,-,1859,(picul),(Yesterday),-,Fish Marketing Organization,20/3/2016,NA
Freshwater fish,-,3014,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,20/3/2016,NA
Vegetables,-,3691,(picul),(Yesterday),-,Vegetable Marketing Organization,20/3/2016,NA
Vegetables,-,10626,(picul),(Yesterday),-,Government Wholesale Markets,20/3/2016,NA
Eggs,-,3720000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,20/3/2016,NA
Livestock / Poultry,Live pig,4501,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,21/3/2016,NA
Livestock / Poultry,Live pig,322,(head),(Yesterday),Local,Food and Environmental Hygiene Department,21/3/2016,NA
Livestock / Poultry,Live cattle,33,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,21/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,21/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,21/3/2016,NA
Livestock / Poultry,Live chicken,10000,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,21/3/2016,NA
Marine fish,-,2087,(picul),(Yesterday),-,Fish Marketing Organization,21/3/2016,NA
Freshwater fish,-,2895,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,21/3/2016,NA
Vegetables,-,3825,(picul),(Yesterday),-,Vegetable Marketing Organization,21/3/2016,NA
Vegetables,-,8168,(picul),(Yesterday),-,Government Wholesale Markets,21/3/2016,NA
Eggs,-,0,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,21/3/2016,NA
Livestock / Poultry,Live pig,3925,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,23/3/2016,NA
Livestock / Poultry,Live pig,252,(head),(Yesterday),Local,Food and Environmental Hygiene Department,23/3/2016,NA
Livestock / Poultry,Live cattle,21,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,23/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,23/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,23/3/2016,NA
Livestock / Poultry,Live chicken,9950,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,23/3/2016,NA
Marine fish,-,1856,(picul),(Yesterday),-,Fish Marketing Organization,23/3/2016,NA
Freshwater fish,-,2850,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,23/3/2016,NA
Vegetables,-,4196,(picul),(Yesterday),-,Vegetable Marketing Organization,23/3/2016,NA
Vegetables,-,11237,(picul),(Yesterday),-,Government Wholesale Markets,23/3/2016,NA
Eggs,-,5020000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,23/3/2016,NA
Livestock / Poultry,Live pig,4120,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,24/3/2016,NA
Livestock / Poultry,Live pig,256,(head),(Yesterday),Local,Food and Environmental Hygiene Department,24/3/2016,NA
Livestock / Poultry,Live cattle,54,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,24/3/2016,NA
Livestock / Poultry,Live cattle,-,(head),(Yesterday),Local,Food and Environmental Hygiene Department,24/3/2016,NA
Livestock / Poultry,Live chicken,0,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,24/3/2016,NA
Livestock / Poultry,Live chicken,11427,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,24/3/2016,NA
Marine fish,-,1638,(picul),(Yesterday),-,Fish Marketing Organization,24/3/2016,NA
Freshwater fish,-,3143,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,24/3/2016,NA
Vegetables,-,3992,(picul),(Yesterday),-,Vegetable Marketing Organization,24/3/2016,NA
Vegetables,-,10973,(picul),(Yesterday),-,Government Wholesale Markets,24/3/2016,NA
Eggs,-,3480000,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,24/3/2016,NA
