food_category,food_item,price_morning,unit,data_from,food_origin,supplier,date_reported,supply_intake
Marine fish,Big eyes,51.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,29/12/2015,NA
Marine fish,Scads,16.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,29/12/2015,NA
Marine fish,Breams,54.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,29/12/2015,NA
Marine fish,Hairtail,35.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,29/12/2015,NA
Marine fish,Mackerel,47.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,29/12/2015,NA
Marine fish,Croakers,16.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,29/12/2015,NA
Marine fish,Filefish,31.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,29/12/2015,NA
Freshwater fish,Grass carp,17.1,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,29/12/2015,NA
Freshwater fish,Big head,16.9,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,29/12/2015,NA
Freshwater fish,Mud carp,18.3,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,29/12/2015,NA
Vegetables,Flowering Cabbage,4.3,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,White Cabbage,4.6,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,Chinese Lettuce,4.9,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,Chrysanthemum Garland,8.1,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,Chinese Kale,5.2,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,European Celery,7.7,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,Potato,3.9,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,Spinach,7.0,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,Water Cress,6.4,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,Broccoli,8.8,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,Green Cabbage,5.0,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,Tomato,5.1,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Vegetables,Pea Shoot,26.2,($ / Catty),(Yesterday),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,29/12/2015,NA
Eggs,Brown-shelled egg (medium) Mainland,0.69,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,29/12/2015,NA
Eggs,Grade II brown-shelled egg Germany (360/box),-,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,29/12/2015,NA
Eggs,Brown-shelled egg (medium) USA,0.86,($ / Egg),(Yesterday),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,29/12/2015,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock / Poultry,Live pig,NA,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,30/12/2015,4024
Livestock / Poultry,Live pig,NA,(head),(Yesterday),Local,Food and Environmental Hygiene Department,30/12/2015,225
Livestock / Poultry,Live cattle,NA,(head),(Yesterday),Mainland,Food and Environmental Hygiene Department,30/12/2015,65
Livestock / Poultry,Live cattle,NA,(head),(Yesterday),Local,Food and Environmental Hygiene Department,30/12/2015,-
Livestock / Poultry,Live chicken,NA,(bird),(Yesterday),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market,30/12/2015,0
Livestock / Poultry,Live chicken,NA,(bird),(Yesterday),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market,30/12/2015,9933
Marine fish,-,NA,(picul),(Yesterday),-,Fish Marketing Organization,30/12/2015,1755
Freshwater fish,-,NA,(picul),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market,30/12/2015,3299
Vegetables,-,NA,(picul),(Yesterday),-,Vegetable Marketing Organization,30/12/2015,5490
Vegetables,-,NA,(picul),(Yesterday),-,Government Wholesale Markets,30/12/2015,11748
Eggs,-,NA,(nos),(Yesterday),-,Government Cheung Sha Wan and Western Wholesale Markets,30/12/2015,5040000
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Livestock / Poultry,Live pig,1277.0,($ / Picul),(Yesterday),-,Slaughterhouses,31/12/2015,NA
Livestock / Poultry,Live cattle,4241.0,($ / Picul),(Yesterday),-,Ng Fung Hong,31/12/2015,NA
Livestock / Poultry,Live chicken,-,($ / Catty),(Yesterday),Mainland,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,31/12/2015,NA
Livestock / Poultry,Live chicken,41.5,($ / Catty),(Yesterday),Local,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,31/12/2015,NA
Marine fish,Golden thread,54.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31/12/2015,NA
Marine fish,Horse head,38.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31/12/2015,NA
Marine fish,Yellow croaker,32.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31/12/2015,NA
Marine fish,Big eyes,52.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31/12/2015,NA
Marine fish,Scads,17.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31/12/2015,NA
Marine fish,Breams,54.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31/12/2015,NA
Marine fish,Hairtail,36.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31/12/2015,NA
Marine fish,Mackerel,48.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31/12/2015,NA
Marine fish,Croakers,17.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31/12/2015,NA
Marine fish,Filefish,32.0,($ / Catty),(Yesterday),-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,31/12/2015,NA
Freshwater fish,Grass carp,16.9,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,31/12/2015,NA
Freshwater fish,Big head,16.8,($ / Catty),(Yesterday),-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,31/12/2015,NA
