date_morning,food_category,food_item,unit,food_origin,provided_by,price_morning
2015-12-28,Vegetables,Flowering Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,4.3
2015-12-28,Vegetables,White Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,4.6
2015-12-28,Vegetables,Chinese Lettuce,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,4.9
2015-12-28,Vegetables,Chrysanthemum Garland,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,8.1
2015-12-28,Vegetables,Chinese Kale,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5.2
2015-12-28,Vegetables,European Celery,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,7.7
2015-12-28,Vegetables,Potato,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,3.9
2015-12-28,Vegetables,Spinach,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,7
2015-12-28,Vegetables,Water Cress,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,6.4
2015-12-28,Vegetables,Broccoli,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,8.8
2015-12-28,Vegetables,Green Cabbage,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5
2015-12-28,Vegetables,Tomato,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,5.1
2015-12-28,Vegetables,Pea Shoot,($ / Catty),-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,26.2
2015-12-28,Eggs,Brown-shelled egg (medium) Mainland,($ / Egg),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,0.69
2015-12-28,Eggs,Brown-shelled egg (medium) USA,($ / Egg),-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,0.86
