date_morning,food_category,food_item,supply_intake,unit,food_origin,provided_by
2016-01-04,Livestock / Poultry,Live cattle,41,(head),Mainland,Food and Environmental Hygiene Department
2016-01-04,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-04,Livestock / Poultry,Live chicken,10195,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-04,Marine fish,NA,1897,(picul),NA,Fish Marketing Organization
2016-01-04,Freshwater fish,NA,2875,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-04,Vegetables,NA,5622,(picul),NA,Vegetable Marketing Organization
2016-01-04,Vegetables,NA,11468,(picul),NA,Government Wholesale Markets
2016-01-04,Eggs,NA,384e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-05,Livestock / Poultry,Live pig,4740,(head),Mainland,Food and Environmental Hygiene Department
2016-01-05,Livestock / Poultry,Live pig,226,(head),Local,Food and Environmental Hygiene Department
2016-01-05,Livestock / Poultry,Live cattle,68,(head),Mainland,Food and Environmental Hygiene Department
2016-01-05,Livestock / Poultry,Live chicken,9795,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-05,Marine fish,NA,1965,(picul),NA,Fish Marketing Organization
2016-01-05,Freshwater fish,NA,3035,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-05,Vegetables,NA,5768,(picul),NA,Vegetable Marketing Organization
2016-01-05,Vegetables,NA,12573,(picul),NA,Government Wholesale Markets
2016-01-05,Eggs,NA,547e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-06,Livestock / Poultry,Live pig,4489,(head),Mainland,Food and Environmental Hygiene Department
2016-01-06,Livestock / Poultry,Live pig,216,(head),Local,Food and Environmental Hygiene Department
2016-01-06,Livestock / Poultry,Live cattle,58,(head),Mainland,Food and Environmental Hygiene Department
2016-01-06,Livestock / Poultry,Live chicken,9950,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-06,Marine fish,NA,2156,(picul),NA,Fish Marketing Organization
2016-01-06,Freshwater fish,NA,3102,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-06,Vegetables,NA,5770,(picul),NA,Vegetable Marketing Organization
2016-01-06,Vegetables,NA,12623,(picul),NA,Government Wholesale Markets
2016-01-06,Eggs,NA,341e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-07,Livestock / Poultry,Live pig,4007,(head),Mainland,Food and Environmental Hygiene Department
2016-01-07,Livestock / Poultry,Live pig,206,(head),Local,Food and Environmental Hygiene Department
2016-01-07,Livestock / Poultry,Live cattle,46,(head),Mainland,Food and Environmental Hygiene Department
2016-01-07,Livestock / Poultry,Live chicken,2e3,(bird),Mainland,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-07,Livestock / Poultry,Live chicken,7636,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-07,Marine fish,NA,1869,(picul),NA,Fish Marketing Organization
2016-01-07,Freshwater fish,NA,2941,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-07,Vegetables,NA,5794,(picul),NA,Vegetable Marketing Organization
2016-01-07,Vegetables,NA,11451,(picul),NA,Government Wholesale Markets
2016-01-07,Eggs,NA,384e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-08,Livestock / Poultry,Live pig,3934,(head),Mainland,Food and Environmental Hygiene Department
2016-01-08,Livestock / Poultry,Live pig,233,(head),Local,Food and Environmental Hygiene Department
2016-01-08,Livestock / Poultry,Live cattle,54,(head),Mainland,Food and Environmental Hygiene Department
2016-01-08,Livestock / Poultry,Live chicken,11789,(bird),Local,Government Cheung Sha Wan Temporary Wholesale Poultry Market
2016-01-08,Marine fish,NA,1759,(picul),NA,Fish Marketing Organization
2016-01-08,Freshwater fish,NA,2756,(picul),NA,Government Cheung Sha Wan and Western Wholesale Food Markets and the private Yuen Long Freshwater Fish Market
2016-01-08,Vegetables,NA,5736,(picul),NA,Vegetable Marketing Organization
2016-01-08,Vegetables,NA,10907,(picul),NA,Government Wholesale Markets
2016-01-08,Eggs,NA,382e4,(nos),NA,Government Cheung Sha Wan and Western Wholesale Markets
2016-01-10,Livestock / Poultry,Live pig,4303,(head),Mainland,Food and Environmental Hygiene Department
2016-01-10,Livestock / Poultry,Live pig,271,(head),Local,Food and Environmental Hygiene Department
2016-01-10,Livestock / Poultry,Live cattle,66,(head),Mainland,Food and Environmental Hygiene Department
